Impulsado por objetivos	Optimista	Paciente	Inquisitivo
Firme	Enérgico	No exigente	Práctico
Solucionador de problemas	Se relaciona fácilmente	Relacional	Perfeccionista
Competitivo	Orientado a los grupos	Simpático	Analítico
Determinado	Inspiracional	Fomenta	Preciso
Impulsado por objetivos	Optimista	Paciente	Inquisitivo
Audaz	Ama la diversión	Pensativo	Detallista
Impulsado por objetivos	Optimista	Paciente	Inquisitivo
Se hace cargo	Muy verbal	Leal	Predecible
Me gusta el control	Entusiasta	Sensible	Reservado


Dirigente 	Optimista 	Apacible 	Concienzudo
Enérgico 	Vivaz 	Modesto 	Discreto
Tenaz	Compasivo	Dócil	Perfeccionista
Competitivo	Expresivo	Sustentador	Preciso
Competitivo	Expresivo	Sustentador	Preciso
Argumentador	Divertido	Paciente	Lógico
Audaz	Espontáneo	Estable	Organizado
Dirigente	Optimista	Apacible	Concienzudo
Cándido	Alegre	Leal	Serio
Independiente	Entusiasta	Buen oidor	Altas normas
